,Unnamed: 0,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown,recognized
131,131,218,805,1,3,7,perjury,3.37,2.7,5.92,1,806,0,True
132,132,48,208,1,3,8,domicile,4.2,4.89,4.96,1,209,1,True
133,133,2,3,50,3,8,evidence,3.23,3.45,6.2,1,4,0,True
134,134,26,108,100,1,5,death,5.0,2.97,7.12,1,109,0,False
135,135,11,51,21,2,8,moisture,5.2,6.24,6.72,1,52,0,False
136,136,39,186,50,3,8,property,4.87,5.99,5.76,1,187,0,True
137,137,113,408,27,3,8,tendency,2.2,1.78,4.08,1,409,1,False
138,138,179,665,1,3,8,barnacle,4.5,6.2,5.69,1,666,1,True
139,139,180,671,36,2,6,damsel,6.03,6.58,6.12,1,672,1,True
140,140,149,569,19,2,7,thicket,5.6,6.49,6.04,1,570,1,True
141,141,60,243,50,2,8,marriage,5.8,3.94,6.29,1,244,0,False
142,142,220,809,2,3,9,diffusion,3.4,3.18,5.67,1,810,0,False
143,143,160,601,1,3,11,thistledown,3.83,6.14,4.76,1,602,0,False
144,144,202,737,27,2,5,bosom,6.57,6.09,5.5,1,738,0,False
145,145,162,609,5,5,14,multiplication,4.73,3.84,6.0,1,610,0,False
146,146,86,332,23,1,4,oats,6.07,6.9,7.16,1,333,1,False
147,147,197,726,20,1,4,fowl,5.87,6.58,7.36,1,727,0,False
148,148,62,249,5,3,9,vigilance,3.53,2.6,5.72,1,250,1,True
149,149,177,658,1,2,6,savant,3.07,3.02,3.88,1,659,1,True
150,150,186,690,100,2,7,teacher,5.77,6.38,6.0,1,691,0,True
151,151,235,875,27,2,5,baron,5.1,5.77,5.72,1,876,1,True
152,152,65,255,50,4,9,necessity,3.0,1.97,5.92,1,256,0,True
153,153,109,394,1,3,9,hierarchy,5.13,2.73,4.48,1,395,0,False
154,154,227,833,50,2,6,artist,5.93,6.14,6.65,1,834,0,False
155,155,194,719,11,1,5,spire,5.57,6.72,4.72,1,720,1,False
156,156,238,894,5,2,5,abyss,5.17,5.4,5.88,1,895,0,False
157,157,144,557,50,3,9,professor,6.17,6.52,5.4,1,558,1,True
158,158,74,286,7,3,10,perception,3.17,2.33,5.8,1,287,1,False
159,159,117,421,100,2,6,answer,2.77,4.49,6.04,1,422,0,True
160,160,10,45,9,1,3,nun,6.67,6.76,6.6,1,46,0,False
161,161,223,817,100,2,4,duty,3.17,2.32,5.6,1,818,1,False
162,162,7,32,8,2,7,spinach,6.47,6.9,7.08,1,33,0,False
163,163,56,231,2,2,6,tripod,6.23,6.82,5.76,1,232,1,False
164,164,120,428,100,2,6,corner,6.13,6.65,5.67,1,429,1,False
165,165,165,615,29,1,4,mule,6.6,6.96,6.12,1,616,0,True
166,166,175,647,2,2,6,nectar,5.33,6.41,6.92,1,648,1,False
167,167,61,245,100,2,6,person,5.83,6.51,5.68,1,246,0,False
168,168,153,585,100,2,5,party,6.27,5.5,7.08,1,586,0,False
169,169,233,862,1,3,8,clemency,2.9,1.97,3.94,1,863,0,True
170,170,98,359,100,1,4,life,4.07,2.96,6.78,1,360,1,False
171,171,104,380,50,2,5,tower,6.53,6.96,6.42,1,381,1,False
172,172,228,836,23,2,6,banner,5.93,6.58,6.2,1,837,1,False
173,173,187,706,2,3,8,aptitude,2.6,1.62,5.25,1,707,1,True
174,174,108,389,3,3,8,scorpion,6.27,6.93,6.24,1,390,1,True
175,175,32,131,1,5,10,originator,3.3,5.43,4.48,1,132,0,False
176,176,70,267,1,3,11,wistfulness,3.13,1.83,4.16,1,268,1,True
177,177,91,346,50,3,8,magazine,6.4,6.8,6.52,1,347,1,False
178,178,107,388,100,2,5,money,6.43,6.63,6.68,1,389,1,False
179,179,100,365,7,2,7,dweller,4.37,5.8,5.09,1,366,0,True
180,180,52,218,50,2,7,justice,3.6,2.18,6.6,1,219,0,False
181,181,17,85,100,2,6,amount,2.73,3.62,5.84,1,86,1,False
182,182,8,41,17,3,8,reminder,2.83,3.48,5.2,1,42,0,False
183,183,130,487,3,2,8,kerchief,5.23,6.82,6.48,1,488,1,True
184,184,216,799,2,3,10,camouflage,5.2,5.26,6.38,1,800,0,False
185,185,148,568,1,2,8,traction,4.77,4.14,6.4,1,569,0,False
186,186,27,114,14,1,5,brute,5.17,5.44,6.08,1,115,1,True
187,187,6,31,1,3,7,arbiter,2.33,4.63,3.71,1,32,0,False
188,188,4,22,42,1,6,priest,6.53,6.59,6.88,1,23,1,True
189,189,14,65,6,2,7,phantom,5.03,2.5,5.0,1,66,1,False
190,190,3,8,27,2,5,maker,3.57,4.46,5.0,1,9,0,True
191,191,200,733,1,4,9,amplifier,5.8,6.53,5.96,1,734,1,True
192,192,119,426,23,1,4,boss,5.73,6.35,5.81,1,427,1,True
193,193,36,176,28,1,5,snake,6.9,7.0,6.88,1,177,1,False
194,194,16,84,36,3,7,tobacco,6.27,6.87,7.84,1,85,1,False
195,195,114,414,1,2,6,abbess,2.97,4.78,2.48,1,415,1,True
196,196,217,801,1,3,7,acrobat,6.53,6.38,5.67,1,802,1,False
197,197,42,194,100,2,6,flower,6.57,6.96,7.13,1,195,0,False
198,198,44,200,19,2,7,builder,5.7,6.05,5.56,1,201,0,False
199,199,59,239,2,3,8,jeopardy,3.03,2.0,3.48,1,240,1,True
200,200,78,296,20,2,7,slipper,6.47,6.94,6.04,1,297,1,False
201,201,118,422,16,2,5,abode,5.07,6.31,6.64,1,423,0,True
202,202,141,540,22,2,7,tribute,3.57,3.12,5.52,1,541,0,False
203,203,34,165,7,4,10,habitation,4.6,6.03,5.26,1,166,0,False
204,204,171,639,1,3,11,bereavement,3.87,2.49,5.75,1,640,1,False
205,205,192,716,8,2,7,outcome,2.4,2.8,4.24,1,717,1,False
206,206,45,202,6,1,4,pelt,5.4,6.2,6.76,1,203,1,False
207,207,89,344,25,2,7,costume,5.8,6.12,6.19,1,345,1,True
208,208,5,25,1,3,9,charlatan,3.43,5.28,3.19,1,26,1,False
209,209,209,772,2,3,10,disclosure,2.17,2.51,3.56,1,773,0,False
210,210,229,840,30,4,10,inhabitant,4.33,6.0,5.33,1,841,1,False
211,211,123,458,1,4,11,flexibility,4.0,3.22,5.6,1,459,0,True
212,212,111,401,26,3,11,distinction,2.7,2.2,3.8,1,402,0,False
213,213,191,715,5,2,6,piston,5.37,6.87,7.4,1,716,0,False
214,214,211,775,50,2,6,author,4.53,6.04,5.24,1,776,0,True
215,215,37,183,100,1,4,hall,6.37,6.72,6.16,1,184,1,False
216,216,24,105,100,2,7,trouble,3.53,2.25,5.08,1,106,1,False
217,217,136,521,5,4,10,graduation,6.03,4.28,6.28,1,522,0,True
218,218,133,503,1,3,8,betrayal,3.57,1.77,5.0,1,504,1,True
219,219,224,826,20,2,7,charter,3.83,5.05,4.89,1,827,1,False
220,220,31,126,7,2,6,satire,3.37,2.33,5.64,1,127,0,True
221,221,77,295,50,3,7,factory,6.43,6.87,6.0,1,296,0,True
222,222,28,117,50,2,5,moral,3.17,1.39,6.44,1,118,1,False
